	annotater_id	table_id	hypothesis	label
32	GW2	T5	சார்லஸ் பிரான்சிஸ் ஜென்கின்ஸ் எந்த பதக்கத்தையும் வென்றதில்லை.	C
33	GW1	T5	சார்லஸ் பிரான்சிஸ் ஜென்கின்ஸ் இரண்டு வெவ்வேறு நூற்றாண்டுகளில் அவரது படைப்புகளுக்காக விருதுகளைப் பெற்றார்.	E
34	GW1	T5	சார்லஸ் பிரான்சிஸ் ஜெங்கின்ஸ் காப்புரிமைகள் பெரும்பாலும் மின்னணுவியல் தொடர்புடையவை.	N
35	GW1	T5	சார்லஸ் பிரான்சிஸ் ஜென்கின்ஸ் 1934 ஆம் ஆண்டின் இலையுதிர் காலத்தில் இறந்தார்.	C
36	GW1	T6	கன்சாஸ் 45 ஆண்டுகளுக்கு மேலாக ஒரு இசைக்குழுவாக செயல்பட்டு வருகிறது.	E
37	GW1	T6	கன்சாஸின் இசைக்குழு உறுப்பினர்கள் இன்சைட் அவுட் உடன் இருந்ததைவிட MCA உடன் ஒரு முத்திரையாக இருந்ததில் மகிழ்ச்சியடைந்தனர்.	N
38	GW1	T6	கன்சாஸ் நான்கு க்கும் மேற்பட்ட பதிவு லேபிள்களில் இசையை உருவாக்கியுள்ளது.	C
39	GW6	T6	கன்சாஸ் பல லேபிள்களில் கையெழுத்திடப்பட்டுள்ளது.	E
40	GW6	T6	கன்சாஸ் தற்போது இன்சைட் அவுட் லேபிளில் கையெழுத்திட்டுள்ளது.	N
41	GW6	T6	கன்சாஸ் எழுபதுகளுக்கு முன்பே தனது நடவடிக்கைகளை தொடங்கினார்.	C
42	GW7	T6	இப்போதும் அவர்கள் ஒன்றாக தான் இருக்கிறார்கள்.	E
43	GW7	T6	அவர்கள் ஒரு ஆல்பத்தை முடித்துவிட்டார்கள்.	N
44	GW7	T6	அவர்கள் டெக்சாஸை சேர்ந்தவர்கள்.	C
45	GW0	T6	கன்சாஸ் முப்பது ஆண்டுகளுக்கும் மேலாக சுறுசுறுப்பாக செயல்பட்டு வருகிறது.	E
46	GW0	T6	கன்சாஸ் இசைக்குழுவினர் தங்கள் இசையின் பெரும்பகுதியை கன்சாஸில் பதிவு செய்தனர்.	N
47	GW0	T6	கன்சாஸ் அமெரிக்காவின் மேற்குக் கரையில் உருவானது.	C
48	GW3	T7	பிளிக்கர் 2017ம் ஆண்டு இலையுதிர் காலத்தில் வெளியிடப்பட்டது	E
49	GW3	T7	பிளிக்கர் இலண்டனிலும் அமெரிக்காவிலும் வெளியிடப்பட்டது.	N
50	GW3	T7	பிளிக்கர் என்பது ராக், பாப், ஜாஸ் மற்றும் பிற வகைகளின் பாடல்களைக் கொண்ட ஒரு பல்வகை ஆல்பம் ஆகும்.	C
51	GW1	T7	பிளிக்கர் 2017 ஆம் ஆண்டின் இலையுதிர் காலத்தில் வெளியிடப்பட்டது.	E
52	GW1	T7	பிளாக்பேர்டு ஸ்டுடியோவை விட எக்கோ ஸ்டுடியோவில் பிளிக்கரில் அதிகமான பதிவுகள் செய்யப்பட்டன.	N
53	GW1	T7	ஃப்ளிக்கரின் பேச்சைக் கேட்க ஒரு மணிநேரத்திற்கும் மேலாக எடுக்கிறது.	C
54	GW0	T7	பிளிக்கர் ஆல்பம் பல ஸ்டுடியோக்களில் பதிவு செய்யப்பட்டது.	E
55	GW0	T7	ஜூலியன் புனெட்டா பிளிக்கரின் நிர்வாக தயாரிப்பாளராக இருந்தார்.	N
56	GW0	T7	பிளிக்கர் ஒரு வருடத்திற்கும் குறைவானவர்.	C
57	GW8	T8	ஜெஃப்ரி டாமர் விஸ்கான்சினில் பிறந்தார்.	E
58	GW8	T8	அவர் மீது தாக்குதல் நடத்தியதாக குற்றம் சாட்டப்பட்டது.	N
59	GW8	T8	அவர் தனது குற்றங்களுக்காக இன்னமும் சிறையில் உள்ளார்.	C
60	GW9	T8	ஜெஃப்ரி டாமர் பல குற்றங்களுக்காக குற்றவாளி என தீர்ப்பளிக்கப்பட்டார்.	E
61	GW9	T8	ஜெஃப்ரி டாமர் மற்றொரு கைதியால் கொல்லப்பட்டார்.	N
62	GW9	T8	ஜெஃப்ரி டாமர் இரண்டு ஆயுள் தண்டனைகளுக்குப் பிறகு விடுதலை செய்யப்பட்டார்.	C
63	GW4	T8	ஜெஃப்ரி டாமர் மக்களை கொலை செய்ததற்காக அறியப்பட்டார்.	E
64	GW4	T8	ஜெஃப்ரி டாமர் தனது வாழ்நாள் முழுவதையும் விஸ்கான்சினில் கழித்தார்.	N
65	GW4	T8	ஜெஃப்ரி டாமர் அவர்கள் நாற்பது வயதாக இருந்தபோது இறந்த ஒரு நபராக இருந்தார்.	C
66	GW0	T8	ஜெஃப்ரி டாமர் இரண்டு மீட்டருக்கும் குறைவான உயரமுடையவராக இருந்தார்.	E
67	GW0	T8	ஜெஃப்ரி டாமர் சிறைக் காவலரால் கொல்லப்பட்டார்.	N
68	GW0	T8	ஜெஃப்ரி டாமெருக்கு மரண தண்டனை விதிக்கப்பட்டது.	C
69	GW10	T9	1963 முதல், ஜெஃப்ரி லின் இசைக்கலைஞர், பாடலாசிரியர்-பாடகர் மற்றும் பதிவு தயாரிப்பாளர் தொழிலில் தீவிரமாக ஈடுபட்டார்.	E
70	GW10	T9	ஜெஃப்ரி லின் FTMusic.	N
71	GW10	T9	ஜெஃப்ரி லின்னுக்கு 70 வயதாகிறது.	C
72	GW5	T9	ஜெஃப்ரி லின் பல புனைப்பெயர்களைக் கொண்டிருந்தார்.	E
73	GW5	T9	ஜெஃப்ரி லின் ஜார்ஜ் ஹாரிசனுடன் சுற்றுப்பயணம் மேற்கொண்டார்.	N
74	GW5	T9	ஜெஃப்ரி லின் தனது தொழில் வாழ்க்கை முழுவதும் ஒரே முத்திரையில் கையெழுத்திட்டார்.	C
75	GW1	T9	ஜெஃப் லின் 1947 ஆம் ஆண்டின் குளிர்காலத்தில் பிறந்தார்.	E
76	GW1	T9	ஜெஃப் லின் சோனி பி. எம். ஜி. யை விட யுனைடெட் ஆர்டிஸ்டுகளுடன் இசை தயாரிப்பதை விரும்பினார்.	N
77	GW1	T9	ஜெஃப் லின் 60 ஆண்டுகளுக்கும் மேலாக இசையில் தீவிரமாக செயல்பட்டு வருகிறார்.	C
78	GW0	T10	பர்ன் டு ரன் 1975 கோடையில் வெளியானது.	E
79	GW0	T10	""""" ""Born to Run"" ""இன் பெரும்பகுதி 1974 இல் பதிவு செய்யப்பட்டது."""	N
80	GW0	T10	போர்ன் டு ரன் நியூயார்க் ஸ்டுடியோவில் பதிவு செய்யப்பட்டது.	C
81	GW11	T10	Born to Run திரைப்படம் 1975 ஆம் ஆண்டின் இரண்டாம் பாதியில் வெளியானது.	E
82	GW11	T10	புரூஸ் ஸ்பிரிங்ஸ்டீன் 1975-ல் நியூயார்க் நகரில் வாழ்ந்தார்.	N
83	GW11	T10	நியூயார்க்கில் பனிப்பொழிவு காரணமாக Born to Run என்ற நாள் வெளியானது.	C
84	GW1	T10	பார்ன் டு ரன் என்ற ஆல்பத்தை பதிவு செய்ய ஒரு வருடத்திற்கும் மேலாக எடுத்தது.	E
85	GW1	T10	பார்ன் டு ரனில் மைக் அப்பலை விட ஜான் லன்டாவு அதிக தயாரிப்பாளராகப் பணியாற்றினார்.	N
86	GW1	T10	1975 ஆம் ஆண்டு வெளிவந்த தமிழ்த் திரைப்படமாகும்.	C
87	GW1	T11	ஜாக் லெவிஸ் இராணுவத்தில் பணிபுரிந்தபோது இறந்திருக்கலாம்.	E
88	GW1	T11	ஜாக் லூயிஸ் அவர் இறக்காவிட்டால் லெப்டினன்ட் பதவியை விட உயர்ந்திருப்பார்.	N
89	GW1	T11	ஜாக் லீவ்ஸ் 1913 ஆம் ஆண்டின் வசந்த காலத்தில் பிறந்தார்.	C
90	GW2	T11	ஜெர்மனியில் ஹிட்லர் ஆட்சியில் இருந்தபோது ஜாக் லீவ்ஸ் போரிட்டார்.	E
91	GW2	T11	ஜாக் லீவ்ஸ் போரில் கொல்லப்பட்டார்.	N
92	GW2	T11	ஜாக் லெவெஸ் ஆப்பரேஷன் டெசர்ட் ஸ்டார்ம் (Operation Desert Storm) இல் போரிட்டார்.	C
93	GW0	T11	ஜாக் லூயிஸ் ஐந்து ஆண்டுகளுக்கு மேலாக இராணுவத்தில் இருந்தார்.	E
94	GW0	T11	ஆபரேஷன் சிலுவைப்போர் நடவடிக்கையின் போது ஜாக் லீவ்ஸ் இறந்தார்.	N
95	GW0	T11	ஜாக் லீவ்ஸ் தனது சொந்த நாட்டில் இறந்தார்.	C
96	GW9	T15	அசல் கதை மற்றும் திரைக்கதை ஆகிய இரண்டிலும் பீட்டர் பெஞ்ச்லி பணியாற்றினார்.	E
97	GW9	T15	1975 ஆம் ஆண்டின் இளவேனிற்காலத்தில் பெரும்பாலும் பற்கள் உற்பத்தி செய்யப்பட்டன.	N
98	GW9	T15	பாக்ஸ் ஆபீஸில் இருந்தபோதே 'தாடி' உடைந்துவிடவில்லை.	C
99	GW4	T15	இத்திரைப்படம் 1975 ஆம் ஆண்டு கோடை விடுமுறையில் வெளியானது.	E
100	GW4	T15	ஜாஸ் திரைப்படத்தை பெரும்பாலும் டேவிட் பிரவுன் தயாரித்தார்.	N
101	GW4	T15	இப்படம் வெளியாகி 10 மில்லியன் டாலர் மட்டுமே வசூல் செய்தது.	C
102	GW1	T15	1975 ஆம் ஆண்டு கோடை விடுமுறையில் வெளியிடப்பட்டது.	E
103	GW1	T15	பீட்டர் பெஞ்ச்லியை விட கார்ல் கோட்லீப் அதிக திரைக்கதையை ஜாஸுக்கு எழுதினார்.	N
104	GW1	T15	தாடைகள் இயங்கும் நேரம் இரண்டு மணி நேரத்திற்கும் குறைவாக உள்ளது.	C
105	GW3	T16	எத்தியோப்பியப் பேரரசு வெவ்வேறு காலகட்டங்களில் பல தலைநகரங்களைக் கொண்டிருந்தது.	E
106	GW3	T16	1270 ஆம் ஆண்டில் எத்தியோப்பியப் பேரரசின் தலைநகராக கோண்டார் இருந்தது.	N
107	GW3	T16	எத்தியோப்பியப் பேரரசு தற்போது முடியாட்சியாக உள்ளது.	C
108	GW1	T16	எத்தியோப்பியப் பேரரசு இரண்டாம் உலகப் போருக்குப் பின் ஐக்கிய நாடுகள் சபையில் சேர்க்கப்பட்டது.	E
109	GW1	T16	எத்தியோப்பியப் பேரரசு ஒரு நாள் மீண்டும் ஒரு மன்னரை அறிமுகப்படுத்தும்.	N
110	GW1	T16	இத்தாலி-எத்தியோப்பியா போர் 18 ஆம் நூற்றாண்டின் பிற்பகுதியில் நடந்தது.	C
111	GW0	T16	கோண்டார் இருநூறு ஆண்டுகளுக்கும் மேலாக எத்தியோப்பியாவின் தலைநகராக இருந்தது.	E
112	GW0	T16	எத்தியோப்பியாவில் பேசப்படும் பொதுவான மொழியாக கீஸ் மொழி உள்ளது.	N
113	GW0	T16	ஹப்டே கியோர்கிஸுக்குப் பிறகு மைக்கேல் இம்ரு எத்தியோப்பியாவின் பிரதமரானார்.	C
114	GW5	T18	ஜேம்ஸ் பால் மார்ஸ்டன் 20-ம் நூற்றாண்டில் பிறந்தார்.	E
115	GW5	T18	ஜேம்ஸ் பால் மார்ஸ்டன் நடிப்பைவிட பாடல்களையே விரும்பினார்.	N
116	GW5	T18	ஜேம்ஸ் பால் மார்ஸ்டன் 19-ம் நூற்றாண்டில் பிறந்தார்.	C
117	GW12	T18	ஜேம்ஸ் மார்ஸ்டன் ஐந்து ஆண்டுகளுக்கு மேலாக திருமணம் செய்து கொண்டார்.	E
118	GW12	T18	ஜேம்ஸ் மார்ஸ்டனுக்கு நான்கு குழந்தைகள் உள்ளனர்.	N
119	GW12	T18	ஜேம்ஸ் மார்ஸ்டனின் நடுப்பெயர் லிண்டே.	C
120	GW1	T18	ஜேம்ஸ் மார்ஸ்டன் 25 ஆண்டுகளுக்கும் மேலாக நடித்தும் மாடலிங் செய்தும் வருகிறார்.	E
121	GW1	T18	ஜேம்ஸ் மார்ஸ்டன் அவிசுவாசம் காரணமாக விவாகரத்து பெற்றார்.	N
122	GW1	T18	ஜேம்ஸ் மார்ஸ்டன் 1973 வசந்த காலத்தில் பிறந்தார்.	C
123	GW1	T21	பாலைவனத்தில் கிறிஸ்து 19-ம் நூற்றாண்டின் பிற்பகுதியில் ஓவியம் தீட்டப்பட்டார்.	E
124	GW1	T21	பாலைவனத்தில் உள்ள கிறிஸ்து அவரது சிறந்த ஓவியம் என்று இவான் க்ராம்ஸ்கோய் நினைத்தார்.	N
125	GW1	T21	ஓவியத்தின் நீண்ட பக்கம் 6 அடி நீளத்திற்கும் குறைவாக உள்ளது.	C
126	GW4	T21	கிறிஸ்து பாலைவனத்தில் மாஸ்கோவில் அமைந்துள்ளது.	E
127	GW4	T21	பாலைவனத்தில் கிறிஸ்து எண்ணெய் அடிப்படையிலான வண்ணம் பூசப்பட்டார்.	N
128	GW4	T21	பாலைவனத்தில் கிறிஸ்துவின் கலை ஆறு அடி உயரத்திற்கு மேல் உள்ளது.	C
129	GW13	T21	கிறிஸ்து பாலைவனத்தில் 1870 களின் ஆரம்பத்தில் இவான் க்ராம்ஸ்கோய் என்பவரால் ஓவியம் தீட்டப்பட்டது.	E
130	GW13	T21	Ivan Kramskoi 1870களில் மாஸ்கோவில் வாழ்ந்தார்.	N
131	GW13	T21	கிறிஸ்து பாலைவனத்தில் 1900களில் செதுக்கப்பட்டார்.	C
132	GW1	T22	எல்லாம், எல்லாம் அதன் பட்ஜெட் மேல் சுமார் 50 மில்லியன் டாலர் சம்பாதித்தது.	E
133	GW1	T22	அமெரிக்காவில் மட்டுமே அனைத்தையும் வெளியிட்டது.	N
134	GW1	T22	எல்லாவற்றுக்கும், எல்லாவற்றுக்கும் இரண்டு மணிநேரத்திற்கு மேல் இயக்க நேரம் உள்ளது.	C
135	GW9	T22	எல்லாமே பாக்ஸ் ஆபீஸில் இருந்தபோது அதன் பட்ஜெட்டை விட ஆறு மடங்கு அதிகமாக வசூல் செய்தது.	E
136	GW9	T22	Everything, Everything என்பது நிகோலா யூன் எழுதிய ஒரு சிறுகதையை அடிப்படையாகக் கொண்டது.	N
137	GW9	T22	எல்லாம், எல்லாம் இரண்டு மணி நேரத்திற்கு மேல் இருந்தது.	C
138	GW4	T22	Everything, Everything என்பது ஸ்டெல்லா மேகி இயக்கிய ஒரு படம்.	E
139	GW4	T22	இந்த திரைப்படத்தை வார்னர் பிரதர்ஸ் பிக்சர்ஸ் வாங்கியது.	N
140	GW4	T22	படம் எல்லாம் பாக்ஸ் ஆபீஸில் நஷ்டம் அடைந்தது.	C
141	GW1	T23	ஜேசன் போர்னின் ஓட்ட நேரம் இரண்டு மணி நேரத்திற்கு மேல் நீடிக்கிறது.	E
142	GW1	T23	டேவிட் பக்லி ஜான் பவலைவிட ஜேசன் போர்ன் இசையில் அதிக பங்களிப்பை செய்தார்.	N
143	GW1	T23	ஜேசன் போர்னின் பாக்ஸ் ஆபீஸ் பட்ஜெட்டைவிட 400 மில்லியன் டாலர்களை அதிகமாக இருந்தது.	C
144	GW0	T23	ஜேசன் போர்ன் ஓடும் நேரத்தில் இரண்டு மணி நேரத்திற்கு மேல் நீடிக்கிறது.	E
145	GW0	T23	பால் கிரீன்கிராஸ் ஜேசன் போர்ன் எழுத்தின் பெரும்பகுதியை எழுதினார்.	N
146	GW0	T23	ஜேசன் போர்ன் ஓடியான் லீசெஸ்டர் சதுக்கத்திற்கு முன்பு அமெரிக்காவில் அறிமுகமானார்.	C
147	GW2	T23	ஜேசன் போர்ன் படம் கோடை காலத்தில் வெளியானது.	E
148	GW2	T23	ஜேசன் போர்ன் படம் எடுப்பதற்கு 3 மாதங்கள் எடுத்தன.	N
149	GW2	T23	ஜேசன் போர்ன் படம் பாக்ஸ் ஆபீஸில் அரை மில்லியன் டாலர்களுக்கு மேல் சம்பாதித்தது.	C
150	GW1	T24	ஜிம்மி ஈட் வேர்ல்ட் தென் மேற்கு அமெரிக்காவில் உருவாக்கப்பட்டது.	E
151	GW1	T24	ஜிம்மி ஈட் வேர்ல்ட் (Jimmy Et World) RCA யை விட டிரீம்வொர்க்ஸ் (Dreamworks) இல் இசை தயாரிப்பதை மிகவும் விரும்பினார்.	N
152	GW1	T24	ஜிம்மி ஈட் வேர்ல்ட் 30 ஆண்டுகளுக்கும் மேலாக ஒரு இசைக்குழுவாக இருந்து வருகிறது.	C
153	GW0	T24	ஜிம்மி ஈட் வேர்ல்ட் 1990 களின் ஆரம்பத்தில் நிறுவப்பட்டது.	E
154	GW0	T24	ஜிம்மி ஈட் வேர்ல்ட் அவர்களின் பெரும்பாலான இசைத்தொகுப்புகளை கெஃபன் ரெக்கார்ட்ஸில் வெளியிட்டது.	N
155	GW0	T24	ஜிம்மி ஈட் வேர்ல்ட் மினசோட்டாவைச் சேர்ந்தவர்.	C
156	GW3	T24	ஜிம்மி ஈட் வேர்ல்ட் (Jimmy eat world) என்பது அரிசோனாவைச் சேர்ந்த ஒரு இசைக்குழுவாகும்.	E
157	GW3	T24	ஜிம்மி ஈட் வேர்ல்ட் உலோகம் விளையாடுகிறார்.	N
158	GW3	T24	ஜிம்மி உலகத்தில் முதன்மையாக பாரம்பரிய இசையை வாசிக்கிறான்.	C
159	GW0	T25	BTS தென் கொரியாவின் தலைநகரத்திலிருந்து வருகிறது.	E
160	GW0	T25	BTS உறுப்பினரான போனி கேன்யன் என்பவரால் நிறுவப்பட்டது.	N
161	GW0	T25	BTS நாட்டுப்புற இசைக்கு பெயர் பெற்றது.	C
162	GW1	T25	BTS கடந்த காலத்தில் குறைந்தபட்சம் சில வெவ்வேறு பெயர்களாவது கடந்து சென்றிருக்கிறது.	E
163	GW1	T25	கொலம்பியாவை விட போனி கேன்யனில் இசை பதிவு செய்வதை பிடிஎஸ் விரும்புகிறது.	N
164	GW1	T25	BTS 2000 ஆம் ஆண்டின் தொடக்கத்தில் இருந்தே ஒரு இசைக்குழுவாக இருந்து வருகிறது.	C
165	GW2	T25	BTS ஆசியாவில் தோன்றியது.	E
166	GW2	T25	பி. டி. எஸ் 2 உலக இசை விருதுகளை வென்றுள்ளது.	N
167	GW2	T25	பி. டி. எஸ். 9 ஆண்டுகளாக செயல்பாட்டில் உள்ளது.	C
168	GW1	T27	சார்லி அண்ட் தி சாக்லேட் ஃபேக்டரி அரை பில்லியன் டாலர்களை வசூலித்தது.	E
169	GW1	T27	ரிச்சர்ட் டி. ஜானக் சார்லி அண்ட் தி சாக்லேட் ஃபேக்டரி தயாரிப்பாளராக பிராட் கிரே செய்ததைவிட அதிகம் செய்தார்.	N
170	GW1	T27	Charlie and the Chocolate Factory has a run time over 2 hours. Charlie and the Chocolate Factory.	C
171	GW2	T27	சார்லி அண்ட் தி சாக்லேட் ஃபேக்டரி 2 க்கும் மேற்பட்ட தயாரிப்பு நிறுவனங்களைக் கொண்டிருந்தது.	E
172	GW2	T27	சார்லி அண்ட் தி சாக்லேட் ஃபேக்டரி திரைப்படம் வெளியான முதல் வாரத்திலேயே திரையரங்குகளில் நம்பர் 1 இடத்தைப் பிடித்தது.	N
173	GW2	T27	Charlie and the Chocolate Factory திரைப்படம் கிறிஸ்துமஸ் தினத்தில் வெளியானது.	C
174	GW0	T27	சார்லி அண்ட் தி சாக்லேட் ஃபேக்டரி ஒரிஜினல் திரைக்கதை அல்ல.	E
175	GW0	T27	சார்லி அண்ட் தி சாக்லேட் ஃபேக்டரி (Charlie and the Chocolate Factory) ஐக்கிய இராச்சியத்தில் அதிக பணத்தை ஈட்டியது.	N
176	GW0	T27	100 கோடி ரூபாய்க்கும் குறைவான பட்ஜெட்டில் எடுக்கப்பட்ட படம் இது.	C
177	GW4	T462	சாக்லேட் ஸ்டார் ஃபிஷ் அண்ட் தி ஹாட் டாக் ஃப்ளேவர்டு வாட்டர் (Chocolate Starfish and the Hot Dog Flavored Water) என்பது 2000 ஆம் ஆண்டின் இலையுதிர் காலத்தில் வெளிவந்த ஒரு ஆல்பம் ஆகும்.	E
178	GW4	T462	சாக்லேட் ஸ்டார் ஃபிஷ் அண்ட் தி ஹாட் டாக் ஃப்ளேவர்டு வாட்டர் (Chocolate Starfish and the Hot Dog Flavored Water) என்பது பெரும்பாலும் ராப் இசையில் உருவாக்கப்பட்ட ஒரு ஆல்பம் ஆகும்.	N
179	GW4	T462	சாக்லேட் ஸ்டார் ஃபிஷ் அண்ட் தி ஹாட் டாக் ஃப்ளேவர்டு வாட்டர் என்ற ஆல்பம் ஒரு மணிநேரத்திற்கும் குறைவான நீளமுடையது.	C
180	GW1	T462	சாக்லேட் நட்சத்திர மீன் மற்றும் ஹாட் டாக் சுவையுள்ள நீரை பதிவு செய்ய சுமார் 3 மாதங்கள் எடுத்தன.	E
181	GW1	T462	சாக்லேட் ஸ்டார் ஃபிஷ் மற்றும் ஹாட் டாக் ஃப்ளேவர்டு வாட்டரை நு உலோகத்தைவிட ராப் உலோகத்துடன் மக்கள் அதிகமாக தொடர்புபடுத்துகின்றனர்.	N
182	GW1	T462	சாக்லேட் ஸ்டார் ஃபிஷ் மற்றும் ஹாட் டாக் ஃப்ளேவர்டு வாட்டர் ஆகியவற்றில் அனைத்து தடங்களும் ஓடும் நேரம் ஒரு மணி நேரத்திற்கும் குறைவாக உள்ளது.	C
183	GW0	T462	சாக்லேட் நட்சத்திர மீன் மற்றும் ஹாட் டாக் சுவையுள்ள நீர் ஆகியவை கலிபோர்னியாவில் பதிவு செய்யப்பட்டன.	E
184	GW0	T462	சாக்லேட் நட்சத்திர மீன் மற்றும் ஹாட் டாக் சுவையுள்ள நீர் ஆகியவை டெர்ரி டேட்டின் ஒரே தயாரிப்பு கடன் ஆகும்.	N
185	GW0	T462	சாக்லேட் நட்சத்திர மீன் மற்றும் ஹாட் டாக் சுவையுள்ள நீர் ஆகியவை எண்பது நிமிடங்கள் நீளமானவை.	C
186	GW2	T32	ஜான் ஃப்ரூசியான்டே இளவேனிற்காலத்தில் பிறந்தார்.	E
187	GW2	T32	ஜான் ஃப்ரூசியான்டே (John Frusciante) கித்தாரைவிட நீண்டகால விசைப்பலகை வாசித்துள்ளார்.	N
188	GW2	T32	ஜான் ஃப்ரூசியான்டே ஒரு குழந்தை பூமர்.	C
189	GW0	T32	ஜான் ஃப்ரூசியான்டே இருபது ஆண்டுகளுக்கும் மேலாக இசை நிகழ்ச்சிகளை நடத்தி வருகிறார்.	E
190	GW0	T32	ஜான் ஃப்ரூசியான்டே ரெட் ஹாட் சில்லி பெப்பர்ஸின் நிறுவன உறுப்பினர்களில் ஒருவராவார்.	N
191	GW0	T32	ஜான் ஃப்ரூசியான்டே ஒரே ஒரு கருவியை மட்டுமே வாசிக்கிறார்.	C
192	GW1	T32	ஜான் ஃப்ரூசியான்டே 30 ஆண்டுகளுக்கும் மேலாக இசை அமைத்துள்ளார்.	E
193	GW1	T32	ஜான் ஃப்ரூசியான்ட்டுக்கு அவரது புனைப்பெயர் மிகவும் பிடிக்கும்.	N
194	GW1	T32	ஜான் ஃப்ரூசியான்டே 1970 கோடையில் பிறந்தார்.	C
195	GW9	T33	K2-21C இன் வெப்பநிலை குறைந்தபட்சம் 3000 K ஆகும்.	E
196	GW9	T33	K2-21c 275 ஒளி ஆண்டுகள் தொலைவில் உள்ளது.	N
197	GW9	T33	K2-21c இன் அளவு அறியப்படவில்லை, ஆனால் 1R _ ஐ விட அதிகமாக மதிப்பிடப்பட்டுள்ளது.	C
198	GW4	T33	K2-21C நட்சத்திரம் தனுசு நட்சத்திரக் கூட்டத்தில் அமைந்துள்ளது.	E
199	GW4	T33	K2-21c என்ற நட்சத்திரம் சூரியனைவிட சிறியது.	N
